"id","p","n_cl","pnoise"
301,7,0,1
301,7,0,1
302,6,0,1
303,6,0,1
304,5,0,1
305,5,0,1
306,7,0,1
307,5,0,1
308,7,0,1
309,5,0,1
310,6,0,1
311,6,0,1
312,6,0,1
