"id","p","n_cl","pnoise"
1,8,3,5
2,8,3,5
3,8,3,5
4,8,3,5
5,8,3,5
6,8,3,5
7,8,4,4
8,8,4,4
9,8,4,4
10,8,4,4
11,8,4,4
12,8,4,4
13,10,4,5
14,10,4,5
15,10,4,5
16,10,4,5
17,10,4,5
18,10,4,5
19,6,3,2
20,6,3,2
