"id","p","n_cl","pnoise"
201,5,3,1
202,7,4,1
203,8,4,3
204,5,3,1
205,7,4,1
206,8,4,3
207,5,3,1
208,7,4,1
209,8,4,3
210,5,3,1
211,7,4,1
212,8,4,3
213,5,3,1
214,7,4,1
215,8,4,3
216,5,3,1
217,7,4,1
218,8,4,3
218,8,4,3
