"id","p","n_cl","pnoise"
1,10,4,4
2,12,4,4
3,8,4,4
4,8,4,3
5,10,4,3
6,12,4,3
7,12,3,3
8,10,3,3
9,8,3,3
10,6,3,3
11,6,3,4
12,8,3,4
13,10,3,4
14,12,3,4
15,12,3,5
16,10,3,5
17,8,3,5
18,10,4,5
19,12,4,5
20,14,4,5
21,6,3,2
