"id","var","p","n_cl","pnoise","LD1_prop_var","LD2_prop_var","LD3_prop_var","LD1","LD2","LD3","var_rank","var_corr"
1,"V1",10,4,4,0.65029001930541,0.262445188595745,0.0872647920988452,0.24263494558595,-0.441392450651718,0.241966008584706,NA,NA
1,"V2",10,4,4,0.65029001930541,0.262445188595745,0.0872647920988452,0.0860865025304159,-0.236351602361186,0.118561431917706,NA,NA
1,"V3",10,4,4,0.65029001930541,0.262445188595745,0.0872647920988452,-0.189763394318892,-0.242136665372266,-0.119310776538073,NA,NA
1,"V4",10,4,4,0.65029001930541,0.262445188595745,0.0872647920988452,0.110917960567248,-0.319179868799256,0.0395564149703569,NA,NA
1,"V5",10,4,4,0.65029001930541,0.262445188595745,0.0872647920988452,-0.495742994848329,-0.00408569500969586,1.01883016883241,NA,NA
1,"V6",10,4,4,0.65029001930541,0.262445188595745,0.0872647920988452,0.774343852919176,1.97839929934209,1.00587901970011,NA,NA
1,"V7",10,4,4,0.65029001930541,0.262445188595745,0.0872647920988452,0.324667024267005,-0.16028244551567,-0.882925646259629,NA,NA
1,"V8",10,4,4,0.65029001930541,0.262445188595745,0.0872647920988452,-1.18746713160628,1.34653773186058,-1.20398002243612,NA,NA
1,"V9",10,4,4,0.65029001930541,0.262445188595745,0.0872647920988452,2.51762543820102,0.581522061172148,-0.253555061077466,NA,NA
1,"V10",10,4,4,0.65029001930541,0.262445188595745,0.0872647920988452,-0.207692965380891,-0.148991409669006,-0.259424325010406,NA,NA
2,"V1",12,4,4,0.611606049825882,0.290433311482768,0.0979606386913497,0.872831070800659,-1.5339743901964,1.35407831854757,NA,NA
2,"V2",12,4,4,0.611606049825882,0.290433311482768,0.0979606386913497,0.509654137358794,0.882321203430549,0.126763171637794,NA,NA
2,"V3",12,4,4,0.611606049825882,0.290433311482768,0.0979606386913497,-0.204148250642984,-0.0447954278115875,0.0584063752445875,NA,NA
2,"V4",12,4,4,0.611606049825882,0.290433311482768,0.0979606386913497,-0.300590024896007,-0.0113187317638875,0.563554539026131,NA,NA
2,"V5",12,4,4,0.611606049825882,0.290433311482768,0.0979606386913497,0.739946454482381,-1.25099513595713,-0.229383235342627,NA,NA
2,"V6",12,4,4,0.611606049825882,0.290433311482768,0.0979606386913497,-0.156716898186516,-0.0983441473746332,-1.07557546710201,NA,NA
2,"V7",12,4,4,0.611606049825882,0.290433311482768,0.0979606386913497,0.658913668996371,0.249910897889769,-0.769742950820025,NA,NA
2,"V8",12,4,4,0.611606049825882,0.290433311482768,0.0979606386913497,-0.191640820597518,0.0549445035850353,0.0041362074948742,NA,NA
2,"V9",12,4,4,0.611606049825882,0.290433311482768,0.0979606386913497,-1.05938967054648,0.435216069499271,0.169993530826782,NA,NA
2,"V10",12,4,4,0.611606049825882,0.290433311482768,0.0979606386913497,-0.210351277999807,0.0057515882308448,0.104652933330103,NA,NA
2,"V11",12,4,4,0.611606049825882,0.290433311482768,0.0979606386913497,-0.204108545840726,-0.0206463157743104,0.14354797870266,NA,NA
2,"V12",12,4,4,0.611606049825882,0.290433311482768,0.0979606386913497,1.74105376530382,1.3873142073619,0.392491630468207,NA,NA
3,"V1",8,4,4,0.717528151032207,0.259556562890481,0.0229152860773125,1.6732517448241,-0.27571159550536,-2.5642066294575,NA,NA
3,"V2",8,4,4,0.717528151032207,0.259556562890481,0.0229152860773125,1.45711345249604,-0.0133048973963297,2.12755981763346,NA,NA
3,"V3",8,4,4,0.717528151032207,0.259556562890481,0.0229152860773125,-1.13691317512286,1.62439486074089,-0.260986122812081,NA,NA
3,"V4",8,4,4,0.717528151032207,0.259556562890481,0.0229152860773125,0.00586761567975087,-0.0566081642415051,0.157940677284155,NA,NA
3,"V5",8,4,4,0.717528151032207,0.259556562890481,0.0229152860773125,0.052938089299133,-0.143631438789359,0.120930730273467,NA,NA
3,"V6",8,4,4,0.717528151032207,0.259556562890481,0.0229152860773125,-1.03664998720251,-2.29504732491425,-0.417849892426363,NA,NA
3,"V7",8,4,4,0.717528151032207,0.259556562890481,0.0229152860773125,-0.0332915267368469,0.0199867752745345,-0.0409709275181073,NA,NA
3,"V8",8,4,4,0.717528151032207,0.259556562890481,0.0229152860773125,-0.0725436460426645,0.0613277053946722,0.003705140918641,NA,NA
4,"V1",8,4,3,0.445209090839139,0.405044148366787,0.149746760794075,-1.49835832082403,-0.459390980763656,0.942285328132595,NA,NA
4,"V2",8,4,3,0.445209090839139,0.405044148366787,0.149746760794075,1.44331305873507,-2.60835028228436,0.67196705382131,NA,NA
4,"V3",8,4,3,0.445209090839139,0.405044148366787,0.149746760794075,-0.122567065233764,0.0645205591583946,-0.114468283876762,NA,NA
4,"V4",8,4,3,0.445209090839139,0.405044148366787,0.149746760794075,0.0189056837380067,0.562378060446588,-1.53078516913906,NA,NA
4,"V5",8,4,3,0.445209090839139,0.405044148366787,0.149746760794075,-0.0489314974094683,0.264312260024627,0.0678813481762253,NA,NA
4,"V6",8,4,3,0.445209090839139,0.405044148366787,0.149746760794075,1.39961644468944,1.27905134138798,0.996135223176616,NA,NA
4,"V7",8,4,3,0.445209090839139,0.405044148366787,0.149746760794075,-0.198631504343258,0.0432687597963062,-0.0547378692172417,NA,NA
4,"V8",8,4,3,0.445209090839139,0.405044148366787,0.149746760794075,0.0596927244820584,-0.286780166439832,-0.399005331125768,NA,NA
5,"V1",10,4,3,0.717723868874869,0.170419020732675,0.111857110392456,-0.117774436134389,-1.71383178489512,-0.884111311169287,NA,NA
